AAAABBBBCCCCDDDD||......., 0
.DDB.CBD.....ACC||BBCAAAD, 10000000
.DDB.CBD....AACC||BBCAA.D, 10000000
.DDB.CBD....AACC||BBCA.AD, 10000000
.DDB.CBD...A..CC||BBCAAAD, 10000000
.DDB.CBD...A.ACC||BBCAA.D, 10000000
.DDB.CBD...A.ACC||BBCA.AD, 10000000
.DDB.CBD...AAACC||BBCA..D, 10000000
.DDB.CBD...A.ACC||BBC.AAD, 10000000
.DDB.CBD...AAACC||BBC.A.D, 10000000
.DDB...D...AAACC||BBCBCAD, 10000000
.DDB..BD...C.ACC||BBCAAAD, 10000000
.DDB..BD...CAACC||BBCA.AD, 10000000
.DDB..BD....AACC||BBCACAD, 10000000
.DDB..BD...AAACC||BBC.CAD, 10000000
..DB.CBD...CAACC||BBD.AAD, 10000000
...B.CBD...CAACC||BBDDAAD, 10000000
..DB..BD...CAACC||BBCDAAD, 10000000
..DB.CBD...CAACC||BB.DAAD, 10000000
.DDB.CBD...CAACC||BB..AAD, 10000000
.DDB.CBD....AACC||BBC.AAD, 10000000
.DDB.CBD...AAACC||BBC..AD, 10000000
.DDB.CBD..AA...C||BBCAACD, 10000000
.DDB.CBD..AA..CC||BBCAA.D, 10000000
.DDB.CBD..AA...C||BBCACAD, 10000000
.DDB.CBD..AA..CC||BBCA.AD, 10000000
.DDB.CBD..AA.ACC||BBCA..D, 10000000
.DDB.CBD..AA..CC||BBC.AAD, 10000000
.DDB.CBD..AA.ACC||BBC.A.D, 10000000
.DDB.CBD..AA.ACC||BBC..AD, 10000000
.DDB.CBD..AAAACC||BBC...D, 10000000
..DB.CBD...A.ACC||BBDCAAD, 10000000
..DB.CBD...AAACC||BBDCA.D, 10000000
..DB.CBD....AACC||BBDCAAD, 10000000
..DB.CBD...AAACC||BBDC.AD, 10000000
..DB.CBD..AA..CC||BBDCAAD, 10000000
..DB.CBD..AA.ACC||BBDCA.D, 10000000
..DB.CBD..AA.ACC||BBDC.AD, 10000000
..DB.CBD..AAAACC||BBDC..D, 10000000
.DDB.CBD...A.ACC||BB.CAAD, 10000000
.DDB.CBD...AAACC||BB.CA.D, 10000000
.DDB.CBD....AACC||BB.CAAD, 10000000
.DDB.CBD...AAACC||BB.C.AD, 10000000
.DDB.CBD..AA..CC||BB.CAAD, 10000000
.DDB.CBD..AA.ACC||BB.CA.D, 10000000
.DDB.CBD..AA.ACC||BB.C.AD, 10000000
.DDB.CBD..AAAACC||BB.C..D, 10000000
CDDB...D...A.ACC||BBCBAAD, 10000000
CDDB...D...AAACC||BBCBA.D, 10000000
CDDB...D....AACC||BBCBAAD, 10000000
CDDB...D...AAACC||BBCB.AD, 10000000
CDDB...D..AA..CC||BBCBAAD, 10000000
CDDB...D..AA.ACC||BBCBA.D, 10000000
CDDB...D..AA.ACC||BBCB.AD, 10000000
CDDB...D..AAAACC||BBCB..D, 10000000
CDDB......AA.ACC||BBCDBAD, 10000000
CDDB......AAAACC||BBCDB.D, 10000000
CDDB...D...A.ACC||BBCABAD, 10000000
CDDB...D...AAACC||BBCAB.D, 10000000
CDDB...D..AA.ACC||BBC.BAD, 10000000
CDDB...D..AAAACC||BBC.B.D, 10000000
CDDB.......AAACC||BBCDABD, 10000000
CDDB......AA.ACC||BBCDABD, 10000000
CDDB......AAAACC||BBCD.BD, 10000000
CDDB.......AAACC||BBCADBD, 10000000
CDDB......AAAACC||BBC.DBD, 10000000
CDDB...D....AACC||BBCAABD, 10000000
CDDB...D...A.ACC||BBCAABD, 10000000
CDDB...D...AAACC||BBCA.BD, 10000000
CDDB...D...AAACC||BBC.ABD, 10000000
CDDB...D..AA..CC||BBCAABD, 10000000
CDDB...D..AA.ACC||BBCA.BD, 10000000
CDDB...D..AA.ACC||BBC.ABD, 10000000
CDDB...D..AAAACC||BBC..BD, 10000000
CDDB..BD.....ACC||BBCAAAD, 10000000
CDDB..BD....AACC||BBCAA.D, 10000000
CDDB..BD....AACC||BBCA.AD, 10000000
CDDB..BD...A..CC||BBCAAAD, 10000000
CDDB..BD...A.ACC||BBCAA.D, 10000000
CDDB..BD...A.ACC||BBCA.AD, 10000000
CDDB..BD...AAACC||BBCA..D, 10000000
CDDB..BD...A.ACC||BBC.AAD, 10000000
CDDB..BD...AAACC||BBC.A.D, 10000000
CDDB.......AAACC||BBCDBAD, 10000000
CDDB...D....AACC||BBCABAD, 10000000
CDDB...D...AAACC||BBC.BAD, 10000000
...B.BBB...CAACC||CDDDAAD, 10000000
..DB.BBB...CAACC||CD.DAAD, 10000000
..DB.BBB...CAACC||C.DDAAD, 10000000
.DDB.BBB...CAACC||C..DAAD, 10000000
..DB.BBB...CAACC||.CDDAAD, 10000000
.DDB.BBB...CAACC||.C.DAAD, 10000000
...B.BBB...CAACC||DDCDAAD, 10000000
..DB.BBB...CAACC||D.CDAAD, 10000000
..DB.BBB...CAACC||.DCDAAD, 10000000
.DDB.BBB...CAACC||..CDAAD, 10000000
CDDB.BBB...CAACC||...DAAD, 10000000
..DB..BB...CAACC||BCDDAAD, 10000000
.DDB..BB...CAACC||BC.DAAD, 10000000
..DB..BB...CAACC||BDCDAAD, 10000000
.DDB..BB...CAACC||B.CDAAD, 10000000
CDDB..BB...CAACC||B..DAAD, 10000000
.DDB...B...CAACC||BBCDAAD, 10000000
CDDB...B...CAACC||BB.DAAD, 10000000
CDDB.......CAACC||BBBDAAD, 10000000
CDDB...D...CAACC||BBB.AAD, 10000000
CDDB...B...CAACC||BBD.AAD, 10000000
CDDB.......CAACC||BBDBAAD, 10000000
CDDB...D...CAACC||BB.BAAD, 10000000
CDDB..BD...CAACC||BB..AAD, 10000000
CDDB..BD....AACC||BBC.AAD, 10000000
CDDB..BD...AAACC||BBC..AD, 10000000
CDDB..BD..AA...C||BBCAACD, 10000000
CDDB..BD..AA..CC||BBCAA.D, 10000000
CDDB..BD..AA...C||BBCACAD, 10000000
CDDB..BD..AA..CC||BBCA.AD, 10000000
CDDB..BD..AA.ACC||BBCA..D, 10000000
CDDB..BD..AA..CC||BBC.AAD, 10000000
CDDB..BD..AA.ACC||BBC.A.D, 10000000
CDDB..BD..AA.ACC||BBC..AD, 10000000
CDDB..BD..AAAACC||BBC...D, 10000000
CDDB...D...A.ACC||BBBCAAD, 10000000
CDDB...D...AAACC||BBBCA.D, 10000000
CDDB...D....AACC||BBBCAAD, 10000000
CDDB...D...AAACC||BBBC.AD, 10000000
CDDB...D..AA..CC||BBBCAAD, 10000000
CDDB...D..AA.ACC||BBBCA.D, 10000000
CDDB...D..AA.ACC||BBBC.AD, 10000000
CDDB...D..AAAACC||BBBC..D, 10000000
CDDB..BD...A.ACC||BB.CAAD, 10000000
CDDB..BD...AAACC||BB.CA.D, 10000000
CDDB..BD....AACC||BB.CAAD, 10000000
CDDB..BD...AAACC||BB.C.AD, 10000000
CDDB..BD..AA..CC||BB.CAAD, 10000000
CDDB..BD..AA.ACC||BB.CA.D, 10000000
CDDB..BD..AA.ACC||BB.C.AD, 10000000
CDDB..BD..AAAACC||BB.C..D, 10000000
CDDB...D...C.ACC||BBABAAD, 10000000
CDDB...D...CAACC||BBABA.D, 10000000
CDDB..BD...C.ACC||BBA.AAD, 10000000
CDDB..BD...CAACC||BBA.A.D, 10000000
CDDB..BD.....ACC||BBACAAD, 10000000
CDDB..BD....AACC||BBACA.D, 10000000
CDDB...D...CAACC||BBAB.AD, 10000000
CDDB.......CAACC||BBADBAD, 10000000
CDDB...D...CAACC||BBA.BAD, 10000000
CDDB..BD...CAACC||BBA..AD, 10000000
CDDB..BD....AACC||BBAC.AD, 10000000
CDDB..BD...A..CC||BBACAAD, 10000000
CDDB..BD...A.ACC||BBACA.D, 10000000
CDDB..BD...A.ACC||BBAC.AD, 10000000
CDDB..BD...AAACC||BBAC..D, 10000000
CDDB.CBD......CC||BBAAAAD, 10000000
CDDB.CBD.....ACC||BBAAA.D, 10000000
CDDB.CBD.....ACC||BBAA.AD, 10000000
CDDB.CBD....AACC||BBAA..D, 10000000
CDDB.CBD.....ACC||BBA.AAD, 10000000
CDDB.CBD....AACC||BBA.A.D, 10000000
CDDB.CBD....AACC||BBA..AD, 10000000
CDDB.CBD...A...C||BBAAACD, 10000000
CDDB.CBD...A..CC||BBAAA.D, 10000000
CDDB.CBD...A...C||BBAACAD, 10000000
CDDB.CBD...A..CC||BBAA.AD, 10000000
CDDB.CBD...A.ACC||BBAA..D, 10000000
CDDB.CBD...A..CC||BBA.AAD, 10000000
CDDB.CBD...A.ACC||BBA.A.D, 10000000
CDDB.CBD...A.ACC||BBA..AD, 10000000
CDDB.CBD...AAACC||BBA...D, 10000000
CDDB.CBD.....ACC||BB.AAAD, 10000000
CDDB.CBD....AACC||BB.AA.D, 10000000
CDDB.CBD....AACC||BB.A.AD, 10000000
CDDB.CBD...A..CC||BB.AAAD, 10000000
CDDB.CBD...A.ACC||BB.AA.D, 10000000
CDDB.CBD...A.ACC||BB.A.AD, 10000000
CDDB.CBD...AAACC||BB.A..D, 10000000
CDDB.CBD...A.ACC||BB..AAD, 10000000
CDDB.CBD...AAACC||BB..A.D, 10000000
..DB..BD...AAACC||BBDCCAD, 10000000
..DB.CBD...C.ACC||BBDAAAD, 10000000
..DB.CBD...CAACC||BBDA.AD, 10000000
..DB.CBD....AACC||BBDACAD, 10000000
..DB.CBD...AAACC||BBD.CAD, 10000000
...B.CBD...AAACC||BBDDCAD, 10000000
..DB..BD...AAACC||BBCDCAD, 10000000
..DB.CBD...AAACC||BB.DCAD, 10000000
.DDB...D...AAACC||BBBCCAD, 10000000
.DDB..BD...AAACC||BB.CCAD, 10000000
.DDB...D..CC.ACC||BBABAAD, 10000000
.DDB...D..CCAACC||BBAB.AD, 10000000
.DDB......CCAACC||BBADBAD, 10000000
.DDB...D..CCAACC||BBA.BAD, 10000000
.DDB..BD..CC.ACC||BBA.AAD, 10000000
.DDB..BD..CCAACC||BBA..AD, 10000000
.DDB.CBD...C.ACC||BBA.AAD, 10000000
.DDB.CBD...CAACC||BBA..AD, 10000000
.DDB...D...CAACC||BBABCAD, 10000000
.DDB..BD...CAACC||BBA.CAD, 10000000
.DDB.CBD....AACC||BBA.CAD, 10000000
.DDB.CBD...C.ACC||BB.AAAD, 10000000
.DDB.CBD...CAACC||BB.A.AD, 10000000
.DDB.CBD....AACC||BB.ACAD, 10000000
.DDB.CBD...AAACC||BB..CAD, 10000000
...B.BBB...AAACC||CDDDCAD, 10000000
..DB.BBB...AAACC||CD.DCAD, 10000000
..DB.BBB...AAACC||C.DDCAD, 10000000
.DDB.BBB...AAACC||C..DCAD, 10000000
..DB.BBB...AAACC||.CDDCAD, 10000000
.DDB.BBB...AAACC||.C.DCAD, 10000000
...B.BBB...AAACC||DDCDCAD, 10000000
..DB.BBB...AAACC||D.CDCAD, 10000000
..DB.BBB...AAACC||.DCDCAD, 10000000
.DDB.BBB...AAACC||..CDCAD, 10000000
CDDB.BBB...AAACC||...DCAD, 10000000
..DB..BB...AAACC||BCDDCAD, 10000000
.DDB..BB...AAACC||BC.DCAD, 10000000
..DB..BB...AAACC||BDCDCAD, 10000000
.DDB..BB...AAACC||B.CDCAD, 10000000
CDDB..BB...AAACC||B..DCAD, 10000000
.DDB...B...AAACC||BBCDCAD, 10000000
CDDB...B...AAACC||BB.DCAD, 10000000
CDDB.......AAACC||BBBDCAD, 10000000
CDDB...D...C.ACC||BBBAAAD, 10000000
CDDB...D...CAACC||BBBA.AD, 10000000
CDDB...D....AACC||BBBACAD, 10000000
CDDB...D...AAACC||BBB.CAD, 10000000
CDDB...B...C.ACC||BBDAAAD, 10000000
CDDB...B...CAACC||BBDA.AD, 10000000
CDDB...B....AACC||BBDACAD, 10000000
CDDB...B...AAACC||BBD.CAD, 10000000
CDDB.......AAACC||BBDBCAD, 10000000
CDDB...D...AAACC||BB.BCAD, 10000000
CDDB...D....AACC||BBABCAD, 10000000
CDDB..BD....AACC||BBA.CAD, 10000000
CDDB..BD...C.ACC||BB.AAAD, 10000000
CDDB..BD...CAACC||BB.A.AD, 10000000
CDDB..BD....AACC||BB.ACAD, 10000000
CDDB..BD...AAACC||BB..CAD, 10000000
CDDB.CBD....AACC||BB..AAD, 10000000
CDDB.CBD...AAACC||BB...AD, 10000000
CDDB..BD..AA...C||BBACACD, 10000000
CDDB..BD..AA..CC||BBACA.D, 10000000
CDDB..BD..AA...C||BBACCAD, 10000000
CDDB..BD..AA..CC||BBAC.AD, 10000000
CDDB..BD..AA.ACC||BBAC..D, 10000000
CDDB...D..AA..CC||BBABCAD, 10000000
CDDB...D..AA.ACC||BBABC.D, 10000000
CDDB..BD...A..CC||BBAACAD, 10000000
CDDB..BD...A.ACC||BBAAC.D, 10000000
CDDB..BD..AA..CC||BBA.CAD, 10000000
CDDB..BD..AA.ACC||BBA.C.D, 10000000
CDDB.CBD..AA....||BBAACCD, 10000000
CDDB.CBD..AA...C||BBAAC.D, 10000000
CDDB.CBD..AA...C||BBAA.CD, 10000000
CDDB.CBD..AA..CC||BBAA..D, 10000000
CDDB.CBD..AA...C||BBA.ACD, 10000000
CDDB.CBD..AA..CC||BBA.A.D, 10000000
CDDB.CBD...A...C||BBACAAD, 10000000
CDDB.CBD..AA....||BBACCAD, 10000000
CDDB.CBD..AA...C||BBAC.AD, 10000000
CDDB.CBD..AA...C||BBA.CAD, 10000000
CDDB.CBD..AA..CC||BBA..AD, 10000000
CDDB.CBD..AA.ACC||BBA...D, 10000000
CDDB.CBD..AA...C||BB.AACD, 10000000
CDDB.CBD..AA..CC||BB.AA.D, 10000000
CDDB.CBD..AA...C||BB.ACAD, 10000000
CDDB.CBD..AA..CC||BB.A.AD, 10000000
CDDB.CBD..AA.ACC||BB.A..D, 10000000
CDDB.CBD..AA..CC||BB..AAD, 10000000
CDDB.CBD..AA.ACC||BB..A.D, 10000000
CDDB.CBD..AA.ACC||BB...AD, 10000000
CDDB.CBD..AAAACC||BB....D, 10000000
CDDB..BD...A.ACC||B.BCAAD, 10000000
CDDB..BD...AAACC||B.BCA.D, 10000000
CDDB...D...CAACC||B.BBAAD, 10000000
CDDB..BD...CAACC||B.B.AAD, 10000000
CDDB..BD....AACC||B.BCAAD, 10000000
CDDB..BD...AAACC||B.BC.AD, 10000000
CDDB..BD..AA..CC||B.BCAAD, 10000000
CDDB..BD..AA.ACC||B.BCA.D, 10000000
CDDB..BD..AA.ACC||B.BC.AD, 10000000
CDDB..BD..AAAACC||B.BC..D, 10000000
CDDB.CBD.....ACC||B.BAAAD, 10000000
CDDB.CBD....AACC||B.BAA.D, 10000000
CDDB.CBD....AACC||B.BA.AD, 10000000
CDDB.CBD...A..CC||B.BAAAD, 10000000
CDDB.CBD...A.ACC||B.BAA.D, 10000000
CDDB.CBD...A.ACC||B.BA.AD, 10000000
CDDB.CBD...AAACC||B.BA..D, 10000000
CDDB.CBD...A.ACC||B.B.AAD, 10000000
CDDB.CBD...AAACC||B.B.A.D, 10000000
CDDB...D...AAACC||B.BBCAD, 10000000
CDDB..BD...C.ACC||B.BAAAD, 10000000
CDDB..BD...CAACC||B.BA.AD, 10000000
CDDB..BD....AACC||B.BACAD, 10000000
CDDB..BD...AAACC||B.B.CAD, 10000000
CDDB.CBD....AACC||B.B.AAD, 10000000
CDDB.CBD...AAACC||B.B..AD, 10000000
CDDB.CBD..AA...C||B.BAACD, 10000000
CDDB.CBD..AA..CC||B.BAA.D, 10000000
CDDB.CBD..AA...C||B.BACAD, 10000000
CDDB.CBD..AA..CC||B.BA.AD, 10000000
CDDB.CBD..AA.ACC||B.BA..D, 10000000
CDDB.CBD..AA..CC||B.B.AAD, 10000000
CDDB.CBD..AA.ACC||B.B.A.D, 10000000
CDDB.CBD..AA.ACC||B.B..AD, 10000000
CDDB.CBD..AAAACC||B.B...D, 10000000
CDDB.CBD...A.ACC||B..BAAD, 10000000
CDDB.CBD...AAACC||B..BA.D, 10000000
CDDB.CBD....AACC||B..BAAD, 10000000
CDDB.CBD...AAACC||B..B.AD, 10000000
CDDB.CBD..AA..CC||B..BAAD, 10000000
CDDB.CBD..AA.ACC||B..BA.D, 10000000
CDDB.CBD..AA.ACC||B..B.AD, 10000000
CDDB.CBD..AAAACC||B..B..D, 10000000
.DDB..BD...A.ACC||BACCBAD, 10000000
.DDB..BD...AAACC||BACCB.D, 10000000
.DDB.CBD.....ACC||BACABAD, 10000000
.DDB.CBD....AACC||BACAB.D, 10000000
.DDB.CBD...A.ACC||BAC.BAD, 10000000
.DDB.CBD...AAACC||BAC.B.D, 10000000
..DB.CBD...A.ACC||BADCBAD, 10000000
..DB.CBD...AAACC||BADCB.D, 10000000
.DDB.CBD...A.ACC||BA.CBAD, 10000000
.DDB.CBD...AAACC||BA.CB.D, 10000000
CDDB...D...A.ACC||BACBBAD, 10000000
CDDB...D...AAACC||BACBB.D, 10000000
CDDB..BD.....ACC||BACABAD, 10000000
CDDB..BD....AACC||BACAB.D, 10000000
CDDB..BD...A.ACC||BAC.BAD, 10000000
CDDB..BD...AAACC||BAC.B.D, 10000000
CDDB...D...A.ACC||BABCBAD, 10000000
CDDB...D...AAACC||BABCB.D, 10000000
CDDB..BD...A.ACC||BA.CBAD, 10000000
CDDB..BD...AAACC||BA.CB.D, 10000000
CDDB...D...C.ACC||BAABBAD, 10000000
CDDB...D...CAACC||BAABB.D, 10000000
CDDB..BD...C.ACC||BAA.BAD, 10000000
CDDB..BD...CAACC||BAA.B.D, 10000000
CDDB.CBD.....ACC||BAA.BAD, 10000000
CDDB.CBD....AACC||BAA.B.D, 10000000
CDDB.CBD.....ACC||BA.ABAD, 10000000
CDDB.CBD....AACC||BA.AB.D, 10000000
CDDB.CBD...A.ACC||BA..BAD, 10000000
CDDB.CBD...AAACC||BA..B.D, 10000000
CDDB..BD...A.ACC||B.ACBAD, 10000000
CDDB..BD...AAACC||B.ACB.D, 10000000
CDDB.CBD.....ACC||B.AABAD, 10000000
CDDB.CBD....AACC||B.AAB.D, 10000000
CDDB.CBD...A.ACC||B.A.BAD, 10000000
CDDB.CBD...AAACC||B.A.B.D, 10000000
CDDB.CBD...A.ACC||B..ABAD, 10000000
CDDB.CBD...AAACC||B..AB.D, 10000000
CDDB.CBD..AA.ACC||B...BAD, 10000000
CDDB.CBD..AAAACC||B...B.D, 10000000
...B..BD..AAAACC||BDDCCBD, 10000000
...B.CBD...AAACC||BDDACBD, 10000000
...B.CBD..AAAACC||BDD.CBD, 10000000
.....CBD..AAAACC||BDBDCBD, 10000000
...B..BD..AAAACC||BDCDCBD, 10000000
...B.CBD..AAAACC||BD.DCBD, 10000000
..DB...D..AAAACC||BDBCCBD, 10000000
..DB..BD..AAAACC||BD.CCBD, 10000000
..DB..BD...AAACC||BDACCBD, 10000000
..DB.CBD...C.ACC||BDAAABD, 10000000
..DB.CBD...CAACC||BDAA.BD, 10000000
..DB.CBD....AACC||BDAACBD, 10000000
..DB.CBD...AAACC||BDA.CBD, 10000000
..DB.CBD...AAACC||BD.ACBD, 10000000
..DB.CBD..AAAACC||BD..CBD, 10000000
..DB..BD..AAAACC||B.DCCBD, 10000000
..DB.CBD...AAACC||B.DACBD, 10000000
..DB.CBD..AAAACC||B.D.CBD, 10000000
.....CBD..AAAACC||BBDDCBD, 10000000
...B.CBD..AAAACC||B.DDCBD, 10000000
..DB..BD..AAAACC||B.CDCBD, 10000000
..DB.CBD..AAAACC||B..DCBD, 10000000
..DB...D..AAAACC||BBDCCBD, 10000000
.DDB......AAAACC||BBDCCBD, 10000000
.DDB...D..AAAACC||BB.CCBD, 10000000
.DDB...D..AAAACC||B.BCCBD, 10000000
.DDB..BD..AAAACC||B..CCBD, 10000000
..DB..BD...AAACC||BADCCBD, 10000000
..DB.CBD...C.ACC||BADAABD, 10000000
..DB.CBD...CAACC||BADA.BD, 10000000
..DB.CBD....AACC||BADACBD, 10000000
..DB.CBD...AAACC||BAD.CBD, 10000000
...B.CBD...AAACC||BADDCBD, 10000000
..DB..BD...AAACC||BACDCBD, 10000000
..DB.CBD...AAACC||BA.DCBD, 10000000
.DDB...D...AAACC||BACBCBD, 10000000
.DDB..BD...C.ACC||BACAABD, 10000000
.DDB..BD...CAACC||BACA.BD, 10000000
.DDB..BD....AACC||BACACBD, 10000000
.DDB..BD...AAACC||BAC.CBD, 10000000
.DDB...D...AAACC||BABCCBD, 10000000
.DDB..BD...AAACC||BA.CCBD, 10000000
.DDB...D..CC.ACC||BAABABD, 10000000
.DDB...D..CCAACC||BAAB.BD, 10000000
.DDB......CCAACC||BAADBBD, 10000000
.DDB...D..CCAACC||BAA.BBD, 10000000
.DDB..BD..CC..CC||BAAAABD, 10000000
.DDB..BD..CC.ACC||BAAA.BD, 10000000
.DDB..BD..CC.ACC||BAA.ABD, 10000000
.DDB..BD..CCAACC||BAA..BD, 10000000
.DDB.CBD...C..CC||BAAAABD, 10000000
.DDB.CBD...C.ACC||BAAA.BD, 10000000
.DDB.CBD...C.ACC||BAA.ABD, 10000000
.DDB.CBD...CAACC||BAA..BD, 10000000
.DDB...D...CAACC||BAABCBD, 10000000
.DDB..BD...CAACC||BAA.CBD, 10000000
.DDB.CBD....AACC||BAA.CBD, 10000000
.DDB.CBD...C.ACC||BA.AABD, 10000000
.DDB.CBD...CAACC||BA.A.BD, 10000000
.DDB.CBD....AACC||BA.ACBD, 10000000
.DDB.CBD...AAACC||BA..CBD, 10000000
.DDB..BD...AAACC||B.ACCBD, 10000000
.DDB.CBD...C.ACC||B.AAABD, 10000000
.DDB.CBD...CAACC||B.AA.BD, 10000000
.DDB.CBD....AACC||B.AACBD, 10000000
.DDB.CBD...AAACC||B.A.CBD, 10000000
.DDB.CBD...AAACC||B..ACBD, 10000000
.DDB.CBD..AAAACC||B...CBD, 10000000
.DDB......AAAACC||BBCDCBD, 10000000
.DDB...D...AAACC||BBCACBD, 10000000
.DDB...D..AAAACC||BBC.CBD, 10000000
CDDB.......AAACC||BBDACBD, 10000000
CDDB......AAAACC||BBD.CBD, 10000000
..DB..BB..AAAACC||.CDDCBD, 10000000
.DDB..BB..AAAACC||.C.DCBD, 10000000
...B..BB..AAAACC||DDCDCBD, 10000000
..DB..BB..AAAACC||D.CDCBD, 10000000
..DB..BB..AAAACC||.DCDCBD, 10000000
.DDB..BB..AAAACC||..CDCBD, 10000000
CDDB..BB..AAAACC||...DCBD, 10000000
..DB...B..AAAACC||BDCDCBD, 10000000
.DDB...B..AAAACC||B.CDCBD, 10000000
CDDB...B..AAAACC||B..DCBD, 10000000
CDDB......AAAACC||BB.DCBD, 10000000
CDDB.......AAACC||BBADCBD, 10000000
CDDB...D...C.ACC||BBAAABD, 10000000
CDDB...D...CAACC||BBAA.BD, 10000000
CDDB...D....AACC||BBAACBD, 10000000
CDDB...D...AAACC||BBA.CBD, 10000000
CDDB...D...AAACC||BB.ACBD, 10000000
CDDB...D..AAAACC||BB..CBD, 10000000
CDDB......AAAACC||B.BDCBD, 10000000
CDDB...D...AAACC||B.BACBD, 10000000
CDDB...D..AAAACC||B.B.CBD, 10000000
.DDB...B...AAACC||BDCACBD, 10000000
.DDB...B..AAAACC||BDC.CBD, 10000000
..DB...B..AAAACC||BDDCCBD, 10000000
.DDB...B..AAAACC||BD.CCBD, 10000000
CDDB...B...C.ACC||BDAAABD, 10000000
CDDB...B...CAACC||BDAA.BD, 10000000
CDDB...B....AACC||BDAACBD, 10000000
CDDB...B...AAACC||BDA.CBD, 10000000
CDDB...B...AAACC||BD.ACBD, 10000000
CDDB...B..AAAACC||BD..CBD, 10000000
.DDB......AAAACC||BDCBCBD, 10000000
CDDB......AAAACC||BD.BCBD, 10000000
CDDB...B...AAACC||B.DACBD, 10000000
CDDB...B..AAAACC||B.D.CBD, 10000000
CDDB......AAAACC||B.DBCBD, 10000000
CDDB...D..AAAACC||B..BCBD, 10000000
.DDB...B...AAACC||BACDCBD, 10000000
CDDB...B...AAACC||BA.DCBD, 10000000
CDDB.......AAACC||BABDCBD, 10000000
CDDB...D...C.ACC||BABAABD, 10000000
CDDB...D...CAACC||BABA.BD, 10000000
CDDB...D....AACC||BABACBD, 10000000
CDDB...D...AAACC||BAB.CBD, 10000000
CDDB...B...C.ACC||BADAABD, 10000000
CDDB...B...CAACC||BADA.BD, 10000000
CDDB...B....AACC||BADACBD, 10000000
CDDB...B...AAACC||BAD.CBD, 10000000
CDDB.......AAACC||BADBCBD, 10000000
CDDB...D...AAACC||BA.BCBD, 10000000
CDDB...D...C.ACC||BAABABD, 10000000
CDDB...D...CAACC||BAAB.BD, 10000000
CDDB.......CAACC||BAADBBD, 10000000
CDDB...D...CAACC||BAA.BBD, 10000000
CDDB..BD...C..CC||BAAAABD, 10000000
CDDB..BD...C.ACC||BAAA.BD, 10000000
CDDB..BD...C.ACC||BAA.ABD, 10000000
CDDB..BD...CAACC||BAA..BD, 10000000
CDDB...D....AACC||BAABCBD, 10000000
CDDB..BD....AACC||BAA.CBD, 10000000
CDDB..BD...C.ACC||BA.AABD, 10000000
CDDB..BD...CAACC||BA.A.BD, 10000000
CDDB..BD....AACC||BA.ACBD, 10000000
CDDB..BD...AAACC||BA..CBD, 10000000
CDDB...D...AAACC||B.ABCBD, 10000000
CDDB..BD...C.ACC||B.AAABD, 10000000
CDDB..BD...CAACC||B.AA.BD, 10000000
CDDB..BD....AACC||B.AACBD, 10000000
CDDB..BD...AAACC||B.A.CBD, 10000000
CDDB..BD...AAACC||B..ACBD, 10000000
CDDB..BD..AAAACC||B...CBD, 10000000
..DB...D..CCAACC||BADBABD, 10000000
..DB..BD..CCAACC||BAD.ABD, 10000000
...B..BD..CCAACC||BADDABD, 10000000
..DB...D..CCAACC||BABDABD, 10000000
..DB..BD..CCAACC||BA.DABD, 10000000
..DB...B..CCAACC||BADDABD, 10000000
.DDB...B..CCAACC||BA.DABD, 10000000
.DDB......CCAACC||BABDABD, 10000000
.DDB...D..CCAACC||BAB.ABD, 10000000
.DDB...B..CCAACC||BAD.ABD, 10000000
.DDB......CCAACC||BADBABD, 10000000
.DDB...D..CCAACC||BA.BABD, 10000000
.DDB..BD..CCAACC||BA..ABD, 10000000
.DDB...D...CAACC||BACBABD, 10000000
.DDB..BD...CAACC||BAC.ABD, 10000000
.DDB..BD....AACC||BACCABD, 10000000
.DDB..BD...A.ACC||BACCABD, 10000000
.DDB..BD...AAACC||BACC.BD, 10000000
.DDB.CBD.....ACC||BACAABD, 10000000
.DDB.CBD....AACC||BACA.BD, 10000000
..DB.CBD...CAACC||BAD.ABD, 10000000
...B.CBD...CAACC||BADDABD, 10000000
..DB..BD...CAACC||BACDABD, 10000000
..DB.CBD...CAACC||BA.DABD, 10000000
.DDB.CBD...CAACC||BA..ABD, 10000000
.DDB.CBD....AACC||BAC.ABD, 10000000
.DDB.CBD...A..CC||BACAABD, 10000000
.DDB.CBD...A.ACC||BACA.BD, 10000000
.DDB.CBD...A.ACC||BAC.ABD, 10000000
.DDB.CBD...AAACC||BAC..BD, 10000000
..DB.CBD....AACC||BADCABD, 10000000
..DB.CBD...A.ACC||BADCABD, 10000000
..DB.CBD...AAACC||BADC.BD, 10000000
.DDB.CBD....AACC||BA.CABD, 10000000
.DDB.CBD...A.ACC||BA.CABD, 10000000
.DDB.CBD...AAACC||BA.C.BD, 10000000
CDDB...D....AACC||BACBABD, 10000000
CDDB...D...A.ACC||BACBABD, 10000000
CDDB...D...AAACC||BACB.BD, 10000000
CDDB.......AAACC||BACDBBD, 10000000
CDDB...D....AACC||BACABBD, 10000000
CDDB...D...AAACC||BAC.BBD, 10000000
CDDB..BD.....ACC||BACAABD, 10000000
CDDB..BD....AACC||BACA.BD, 10000000
.DDB...B...CAACC||BACDABD, 10000000
CDDB...B...CAACC||BA.DABD, 10000000
CDDB.......CAACC||BABDABD, 10000000
